CBSA,CBSA Code,Date,AQI,Category,Defining Parameter,Defining Site,Number of Sites Reporting
"Bakersfield, CA",12540,2019-01-01,107,Unhealthy for Sensitive Groups,PM2.5,06-029-0014,10
"Bakersfield, CA",12540,2019-01-02,90,Moderate,PM2.5,06-029-0014,10
"Bakersfield, CA",12540,2019-01-03,103,Unhealthy for Sensitive Groups,PM2.5,06-029-0014,13
"Bakersfield, CA",12540,2019-01-04,108,Unhealthy for Sensitive Groups,PM2.5,06-029-0014,10
"Bakersfield, CA",12540,2019-01-05,81,Moderate,PM10,06-029-0014,11
"Bakersfield, CA",12540,2019-01-06,44,Good,PM2.5,06-029-0014,13
"Bakersfield, CA",12540,2019-01-07,38,Good,NO2,06-029-2019,10
"Bakersfield, CA",12540,2019-01-08,34,Good,Ozone,06-029-5002,10
"Bakersfield, CA",12540,2019-01-09,49,Good,PM2.5,06-029-0016,13
"Bakersfield, CA",12540,2019-01-10,58,Moderate,PM2.5,06-029-0014,11
"Bakersfield, CA",12540,2019-01-11,49,Good,PM2.5,06-029-0014,11
"Bakersfield, CA",12540,2019-01-12,38,Good,Ozone,06-029-0008,12
"Bakersfield, CA",12540,2019-01-13,37,Good,Ozone,06-029-5002,10
"Bakersfield, CA",12540,2019-01-14,37,Good,Ozone,06-029-5002,10
"Bakersfield, CA",12540,2019-01-15,39,Good,Ozone,06-029-0008,12
"Bakersfield, CA",12540,2019-01-16,34,Good,Ozone,06-029-5002,11
"Bakersfield, CA",12540,2019-01-17,37,Good,Ozone,06-029-0011,10
"Bakersfield, CA",12540,2019-01-18,60,Moderate,PM2.5,06-029-0010,12
"Bakersfield, CA",12540,2019-01-19,60,Moderate,PM2.5,06-029-0014,10
"Bakersfield, CA",12540,2019-01-20,62,Moderate,PM2.5,06-029-0014,10
"Bakersfield, CA",12540,2019-01-21,39,Good,Ozone,06-029-0011,13
"Bakersfield, CA",12540,2019-01-22,40,Good,PM2.5,06-029-0014,11
"Bakersfield, CA",12540,2019-01-23,69,Moderate,PM2.5,06-029-0014,11
